Date,HB,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200320,S08000024,10,57,6.28043808810243,0.0341521869382864,0,2,0.220366248705348,1612,177.615196456511
20200320,S08000025,0,0,0,0,0,0,0,13,58.3744948361024
20200320,S08000026,0,24,104.712041884817,0.195121951219512,0,0,0,99,431.937172774869
20200320,S08000028,0,0,0,0,0,0,0,30,112.275449101796
20200320,S08000029,7,22,5.88943916477045,0.0562659846547315,0,0,0,369,98.7819569000134
20200320,S08000030,10,41,9.82106498670563,0.0631741140215717,0,0,0,608,145.639207607732
20200320,S08000031,30,130,10.9878964094935,0.0543024227234754,3,6,0.507133680438164,2264,191.358442085334
20200320,S08000032,4,49,7.40293095633781,0.0533769063180828,0,1,0.151080223598731,869,131.288714307297
20200321,S08000015,5,32,8.66363439462855,0.0476900149031297,0,1,0.270738574832142,639,173.001949317739
20200321,S08000016,0,10,8.65725911176522,0.0432900432900433,0,0,0,221,191.325426370011
20200321,S08000017,1,18,12.0918984280532,0.0335820895522388,0,0,0,518,347.977965873976
20200321,S08000019,4,41,13.3707278893817,0.0618401206636501,0,3,0.978345943125489,622,202.843725541351
20200321,S08000020,0,23,3.92692504695236,0.051685393258427,0,1,0.170735871606625,422,72.0505378179956
20200321,S08000022,3,13,4.04103201740752,0.0337662337662338,0,0,0,372,115.6356854212
20200321,S08000024,15,72,7.93318495339254,0.0412607449856734,3,5,0.550915621763371,1673,184.336367042024
20200321,S08000025,0,0,0,0,0,0,0,13,58.3744948361024
20200321,S08000026,0,24,104.712041884817,0.193548387096774,0,0,0,100,436.30017452007
20200321,S08000028,0,0,0,0,0,0,0,31,116.017964071856
20200321,S08000029,2,24,6.42484272520412,0.0579710144927536,1,1,0.267701780216838,390,104.403694284567
20200321,S08000030,5,46,11.0187558387429,0.0680473372781065,0,0,0,630,150.909047356696
20200321,S08000031,24,154,13.0164311312462,0.0607016160819866,1,7,0.591655960511191,2383,201.416593414024
20200321,S08000032,7,56,8.46049252152893,0.0573770491803279,1,2,0.302160447197462,920,138.993805710832
20200322,S08000015,9,41,11.1002815681178,0.0556309362279511,1,2,0.541477149664284,696,188.434048083171
