Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200308,S12000018,Inverclyde,0,0,0,0,0,0,0,26,33.4190231362468
20200308,S12000019,Midlothian,0,1,1.08154877784988,0.0208333333333333,0,0,0,47,50.8327925589444
20200308,S12000020,Moray,0,2,2.08724692131079,0.0909090909090909,0,0,0,20,20.8724692131079
20200308,S12000021,North Ayrshire,0,1,0.742170105388155,0.0178571428571429,0,0,0,55,40.8193557963485
20200308,S12000023,Orkney Islands,0,0,0,0,0,0,0,9,40.4131118096093
20200308,S12000026,Scottish Borders,0,0,0,0,0,0,0,51,44.1520214700026
20200308,S12000027,Shetland Islands,0,2,8.7260034904014,0.285714285714286,0,0,0,5,21.8150087260035
20200308,S12000028,South Ayrshire,0,0,0,0,0,0,0,25,22.2005150519492
20200308,S12000029,South Lanarkshire,0,1,0.311983277696316,0.00793650793650794,0,0,0,125,38.9979097120394
20200308,S12000030,Stirling,0,0,0,0,0,0,0,56,59.4416728585076
