date,areaname,count
2020-04-27,Western Isles,6
2020-04-27,Highland,228
2020-04-27,Ayrshire and Arran,721
2020-04-27,Forth Valley,680
2020-04-27,Tayside,1261
2020-04-27,Dumfries and Galloway,243
2020-04-27,Shetland,54
2020-04-27,Lothian,1804
2020-04-27,Lanarkshire,1265
2020-04-28,Lothian,1832
2020-04-28,Dumfries and Galloway,243
2020-04-28,Tayside,1273
2020-04-28,Orkney,7
2020-04-28,Lanarkshire,1297
2020-04-28,Western Isles,6
2020-04-28,Forth Valley,689
2020-04-28,Greater Glasgow and Clyde,2604
2020-04-28,Ayrshire and Arran,738
2020-04-28,Highland,232
2020-04-28,Shetland,54
2020-04-28,Borders,272
2020-04-28,Grampian,782
2020-04-28,Fife,692
2020-04-29,Orkney,7
2020-04-29,Dumfries and Galloway,244
2020-04-29,Lothian,1907
2020-04-29,Highland,236
2020-04-29,Borders,279
2020-04-29,Grampian,813
2020-04-29,Shetland,54
2020-04-29,Forth Valley,717
2020-04-29,Western Isles,6
2020-04-29,Lanarkshire,1329
2020-04-29,Tayside,1313
2020-04-29,Greater Glasgow and Clyde,2672
2020-04-29,Ayrshire and Arran,745
2020-04-29,Fife,712
2020-04-30,Orkney,7
2020-04-30,Ayrshire and Arran,762
2020-04-30,Fife,737
2020-04-30,Greater Glasgow and Clyde,2759
2020-04-30,Dumfries and Galloway,246
2020-04-30,Grampian,834
2020-04-30,Highland,242
2020-04-30,Lanarkshire,1374
2020-04-30,Lothian,1980
2020-04-30,Tayside,1349
2020-04-30,Western Isles,6
2020-04-30,Forth Valley,724
2020-04-30,Borders,279
2020-04-30,Shetland,54
2020-05-01,Tayside,1379
2020-05-01,Greater Glasgow and Clyde,2864
2020-05-01,Forth Valley,747
2020-05-01,Western Isles,6
2020-05-01,Borders,281
2020-05-01,Shetland,54
2020-05-01,Lothian,2014
2020-05-01,Lanarkshire,1400
2020-05-01,Ayrshire and Arran,778
2020-05-01,Fife,750
2020-05-01,Dumfries and Galloway,249
2020-05-01,Highland,259
2020-05-01,Grampian,866
2020-05-01,Orkney,7
2020-05-02,Lothian,2065
2020-05-02,Tayside,1392
2020-05-02,Ayrshire and Arran,793
2020-05-02,Grampian,889
2020-05-02,Dumfries and Galloway,250
2020-05-02,Shetland,54
2020-05-02,Western Isles,6
2020-05-02,Orkney,7
2020-05-02,Borders,283
2020-05-02,Forth Valley,757
2020-05-02,Lanarkshire,1436
2020-05-02,Greater Glasgow and Clyde,2939
2020-05-02,Highland,288
2020-05-02,Fife,768
2020-05-03,Lothian,2089
2020-05-03,Highland,297
2020-05-03,Lanarkshire,1454
2020-05-03,Grampian,898
2020-05-03,Shetland,54
2020-05-03,Orkney,7
2020-05-03,Forth Valley,788
2020-05-03,Fife,776
2020-05-03,Western Isles,6
2020-05-03,Greater Glasgow and Clyde,2985
2020-05-03,Tayside,1410
2020-05-03,Ayrshire and Arran,799
2020-05-03,Borders,284
2020-05-03,Dumfries and Galloway,250
2020-05-04,Shetland,54
2020-05-04,Fife,778
2020-05-04,Lanarkshire,1492
2020-05-04,Tayside,1411
2020-05-04,Ayrshire and Arran,818
2020-05-04,Lothian,2113
2020-05-04,Borders,284
2020-05-04,Forth Valley,794
2020-05-04,Grampian,931
2020-05-04,Highland,299
2020-05-04,Dumfries and Galloway,250
2020-05-04,Western Isles,6
2020-05-04,Orkney,7
2020-05-04,Greater Glasgow and Clyde,3029
2020-05-05,Borders,284
2020-05-05,Fife,784
2020-05-05,Dumfries and Galloway,254
2020-05-05,Greater Glasgow and Clyde,3070
2020-05-05,Forth Valley,802
2020-05-05,Ayrshire and Arran,825
2020-05-05,Shetland,54
2020-05-05,Grampian,946
2020-05-05,Lanarkshire,1520
2020-05-05,Orkney,7
2020-05-05,Lothian,2149
2020-05-05,Tayside,1429
2020-05-05,Western Isles,6
2020-05-05,Highland,307
2020-05-06,Tayside,1445
2020-05-06,Borders,285
2020-05-06,Shetland,54
2020-05-06,Orkney,7
2020-05-06,Ayrshire and Arran,846
2020-05-06,Greater Glasgow and Clyde,3203
2020-05-06,Dumfries and Galloway,254
2020-05-06,Western Isles,6
2020-05-06,Forth Valley,809
2020-05-06,Grampian,957
2020-05-06,Highland,310
2020-05-06,Lothian,2200
2020-05-06,Lanarkshire,1541
2020-05-06,Fife,792
2020-05-07,Forth Valley,818
2020-05-07,Dumfries and Galloway,254
2020-05-07,Western Isles,6
2020-05-07,Greater Glasgow and Clyde,3277
2020-05-07,Grampian,973
2020-05-07,Borders,286
2020-05-07,Shetland,54
2020-05-07,Orkney,7
2020-05-07,Fife,801
2020-05-07,Ayrshire and Arran,853
2020-05-07,Lanarkshire,1576
2020-05-07,Tayside,1465
2020-05-07,Highland,313
2020-05-07,Lothian,2241
2020-05-08,Highland,317
2020-05-08,Orkney,7
2020-05-08,Lanarkshire,1628
2020-05-08,Fife,804
2020-05-08,Borders,286
2020-05-08,Forth Valley,828
2020-05-08,Greater Glasgow and Clyde,3333
2020-05-08,Lothian,2274
2020-05-08,Western Isles,6
2020-05-08,Shetland,54
2020-05-08,Tayside,1471
2020-05-08,Ayrshire and Arran,885
2020-05-08,Grampian,1001
